"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"add"	"lifeStage"	"identificationRemarks"	"foto"
10	60	"AT"	10	"cells/l"	"Synedropsis"	"sp."	2017	"GlacierFront2017"	"KpS5"	"PHT-001"	"species"	"Occurrence"	850.900767263427	1	0.001175225171339414	"l"	"present"	"verified"	391	16635.11	50	1000	1	42.5450383631714	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Telonema"	"sp."	2017	"GlacierFront2017"	"KpS5"	"PHT-001"	"species"	"Occurrence"	850.900767263427	1	0.001175225171339414	"l"	"present"	"verified"	391	16635.11	50	1000	1	42.5450383631714	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"KpM5"	"PHT-003"	"species"	"Occurrence"	8422.84050632912	2	0.0002374495870481169	"l"	"present"	"verified"	395	16635.11	10	1000	1	84.2284050632911	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Gyrodinium fusiforme"		2017	"GlacierFront2017"	"KpM5"	"PHT-003"		"Occurrence"	4211.42025316456	1	0.0002374495870481169	"l"	"present"	"verified"	395	16635.11	10	1000	1	42.1142025316456	"Niskin bottle"	"phytoplankton"					
	60	"AT"		"cells/l"	"Chrysophyceae"	"indet."	2017	"GlacierFront2017"	"KpN3"	"PHT-009"		"Occurrence"	4158.7775	1	0.0002404552780234095	"l"	"present"	"verified"	400	16635.11	10	1000	1	41.587775	"Niskin bottle"	"phytoplankton"	"Chrysophycean"		"cyst"		
	60	"AT"		"cells/l"	"Cryptomonas"	"sp."	2017	"GlacierFront2017"	"KpN3"	"PHT-009"	"species"	"Occurrence"	4158.7775	1	0.0002404552780234095	"l"	"present"	"verified"	400	16635.11	10	1000	1	41.587775	"Niskin bottle"	"phytoplankton"					
	60	"AT"		"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"KpN3"	"PHT-009"	"species"	"Occurrence"	4158.7775	1	0.0002404552780234095	"l"	"present"	"verified"	400	16635.11	10	1000	1	41.587775	"Niskin bottle"	"phytoplankton"					
	60	"AT"		"cells/l"	"Ciliophora"	"indet."	2017	"GlacierFront2017"	"KpN3"	"PHT-009"		"Occurrence"	4158.7775	1	0.0002404552780234095	"l"	"present"	"verified"	400	16635.11	10	1000	1	41.587775	"Niskin bottle"	"phytoplankton"	"Ciliophora indet. cyst"	"„ogórek”"	"cyst"		
	60	"AT"		"cells/l"	"Emiliania huxleyi"		2017	"GlacierFront2017"	"KpN3"	"PHT-009"		"Occurrence"	4158.7775	1	0.0002404552780234095	"l"	"present"	"verified"	400	16635.11	10	1000	1	41.587775	"Niskin bottle"	"phytoplankton"					
	60	"AT"		"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"KpN2"	"PHT-010"	"species"	"Occurrence"	4265.41282051282	1	0.0002344438960728243	"l"	"present"	"verified"	390	16635.11	10	1000	1	42.6541282051282	"Niskin bottle"	"phytoplankton"					
