"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"occurrenceRemarks"	"previousIdentifications"	"lifeStage"	"magnification"
10	"iopan.pl"	"cells/l"	"Thalassiosira"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	890.39797979798	1	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	44.519898989899	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	4451.9898989899	5	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	222.599494949495	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 1"	"sp. 1"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	890.39797979798	1	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	44.519898989899	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	1780.79595959596	2	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	89.039797979798	"Niskin bottle"	"phytoplankton"	10				
25	"iopan.pl"	"cells/l"	"Strombidium sulcatum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	127.370297029703	2	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	6.36851485148515	"Niskin bottle"	"phytoplankton"	25				
25	"iopan.pl"	"cells/l"	"Dinophyceae"	"indet.-"	"10-20um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	63.6851485148515	1	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	3.18425742574257	"Niskin bottle"	"phytoplankton"	25		"Thecate dinoflagellatae"		
25	"iopan.pl"	"cells/l"	"Foissneridium constrictum"		"Old Strombidium constrictum"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	191.055445544554	3	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	9.55277227722772	"Niskin bottle"	"phytoplankton"	25				
25	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"			2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	127.370297029703	2	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	6.36851485148515	"Niskin bottle"	"phytoplankton"	25				
25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	"sp. 5-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"	"species"	"Occurrence"	2260.24102564103	2	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	113.012051282051	"Niskin bottle"	"phytoplankton"	25		"Gymnodinium sp. 5-10um"		
25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"5-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	32773.4948717949	29	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	1638.67474358974	"Niskin bottle"	"phytoplankton"	25		"Monoflagellatae"		
25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"7-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	41814.458974359	37	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	2090.72294871795	"Niskin bottle"	"phytoplankton"	25		"Biflagellatae"		
25	"iopan.pl"	"cells/l"	"Prorocentrum cordatum"		"old Prorocentrum minimum"	2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	1130.12051282051	1	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	56.5060256410257	"Niskin bottle"	"phytoplankton"	25		"Prorocentrum cordatum old Prorocentrum minimum"		
25	"iopan.pl"	"cells/l"	"Uronema marinum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	1130.12051282051	1	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	56.5060256410257	"Niskin bottle"	"phytoplankton"	25				
25	"iopan.pl"	"cells/l"	"Plagioselmis prolonga"			2012	"MOSJ2012"	"KB3"	"MOSJ12-74"		"Occurrence"	1130.12051282051	1	0.0008848613830610305	"l"	"present"	"verified"	78	4407.47	50	1000	1	56.5060256410257	"Niskin bottle"	"phytoplankton"	25				
50	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"			2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	309.985542168675	4	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	15.4992771084337	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"			2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	77.4963855421687	1	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	3.87481927710843	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-75"	"species"	"Occurrence"	77.4963855421687	1	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	3.87481927710843	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Nematopsides vigilans"		"old Proterythropsis vigilans"	2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	77.4963855421687	1	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	3.87481927710843	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Strombidium sulcatum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	77.4963855421687	1	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	3.87481927710843	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Strombidium conicum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	154.992771084337	2	0.012903827617300455	"l"	"present"	"verified"	83	321.61	50	1000	1	7.74963855421687	"Niskin bottle"	"phytoplankton"	50				
50	"iopan.pl"	"cells/l"	"Ciliophora"	"indet."	"Non det. 30-40um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-75"		"Occurrence"	1175.32533333333	1	0.0008508282529432984	"l"	"present"	"verified"	75	4407.47	50	1000	1	58.7662666666667	"Niskin bottle"	"phytoplankton"	50		"Ciliophora non det Non det. 30-40um"		
