"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"occurrenceRemarks"	"verbatimTaxon"	"organismRemarks"
2	60	"AT"	2	"cells/l"	"Coccolithus pelagicus"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	4377.660526	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.8830263	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Cochlodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"	"Cochlodinium  sp."				
2	60	"AT"	2	"cells/l"	"Cryptomonas"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	10944.15132	5	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	547.2075658	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Dinobryon balticum"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Emiliania huxleyi"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	96308.53158	44	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	4815.426579	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
2	60	"AT"	2	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
2	60	"AT"	2	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	227878.2192	50	0.0002194154411963612	"l"	"present"	"verified"	73	16635.11	50	1000	1	11393.91096	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
2	60	"AT"	2	"cells/l"	"Fragilariopsis oceanica"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	13132.98158	6	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	656.6490789	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Gymnodinium galeatum"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	10944.15132	5	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	547.2075658	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Gymnodinium simplex"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Gymnodinium"	"sp. „spiralne”"	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"					
