"maximumDepthInMeters"	"Class_phylum"	"magnification"	"cells_in_250_ml"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"initialVolume"	"gear"	"taxonRank"	"cell_size_in_classes_um"	"verbatimTaxon"	"organismRemarks"	"minimumDepthInMeters"	"lifeStage"	"col18"	"sampletype"	"occurrenceRemarks"	"log_no"
10	"Cryptophyceae"	60	0	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	297055.535714286	14852.7767857143	"l"	"present"	"incalculable"	56	16635.11	50	1		"species"				10					
10	"Flagellatae"	60	0	"iopan.pl"	"cells/l"	"Eukaryota"	"incertae sedis"	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	63171.3037974684	3158.56518987342	"l"	"present"	"incalculable"	158	16635.11	50	1			"3.0-7.0"	"Flagellatae"	"flagellate"	10					
10	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Fragilariopsis cylindrus"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	35797.0721518987	1789.85360759494	"l"	"present"	"incalculable"	158	16635.11	50	1						10					
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"cf. gracilentum"	2010	"ICE2010"	"R1"	"ICE10-18"	"Gymnodinium cf gracilentum"	"Occurrence"	50537.0430379747	2526.85215189873	"l"	"present"	"incalculable"	158	16635.11	50	1						10					
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	21057.1012658228	1052.85506329114	"l"	"present"	"incalculable"	158	16635.11	50	1						10					
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium simplex"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	2105.71012658228	105.285506329114	"l"	"present"	"incalculable"	158	16635.11	50	1						10					
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. ""kra"""	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	4211.42025316456	210.571012658228	"l"	"present"	"incalculable"	158	16635.11	50	1		"species"				10					
10	"Peridinea"	10	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	537.337313432836	26.8668656716418	"l"	"present"	"incalculable"	67	450.02	50	1		"species"	"5-10"			10					
10	"Peridinea"	10	0	"iopan.pl"	"cells/l"	"Gyrodinium fusiforme"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	940.340298507463	47.0170149253731	"l"	"present"	"incalculable"	67	450.02	50	1						10					
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	35797.0721518987	1789.85360759494	"l"	"present"	"incalculable"	158	16635.11	50	1						10					
