"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"previousIdentifications"	"lifeStage"	"taxonRank"	"add"	"foto"	"organismRemarks"	"organismScope"	"occurrenceRemarks"	"verbatimTaxon"	"col21"
1	60	"MR"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	29919.263	5	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	299.192625899281	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"MR"	1	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	11967.705	2	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	119.677050359712	"Niskin bottle"	"microplankton"											
1	60	"MR"	1	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	5983.853	1	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	59.8385251798561	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 10-20um"		"species"	"10-20um"						
1	60	"MR"	1	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	5983.853	1	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	59.8385251798561	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 7-10um"		"species"	"<10um"						
1	60	"MR"	1	"cells/l"	"Mesodinium rubrum"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	83773.935	14	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	837.739352517986	"Niskin bottle"	"microplankton"											
1	60	"MR"	1	"cells/l"	"Phaeocystis pouchetii"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	5983.853	1	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	59.8385251798561	"Niskin bottle"	"microplankton"					"flagella form"						
1	60	"MR"	1	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-128"	"Occurrence"	2704.896	2	0.0007393999799219842	"l"	"present"	"verified"	246	16635.11	50	3700	3.7	135.244796747967	"Niskin bottle"	"microplankton"	"indet."				"6-10um"						
1	60	"MR"	1	"cells/l"	"Dinophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-128"	"Occurrence"	1352.448	1	0.0007393999799219842	"l"	"present"	"verified"	246	16635.11	50	3700	3.7	67.6223983739837	"Niskin bottle"	"microplankton"	"indet. encysting"										
1	60	"MR"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-128"	"Occurrence"	12172.032	9	0.0007393999799219842	"l"	"present"	"verified"	246	16635.11	50	3700	3.7	608.601585365854	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"MR"	1	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-128"	"Occurrence"	6762.24	5	0.0007393999799219842	"l"	"present"	"verified"	246	16635.11	50	3700	3.7	338.111991869919	"Niskin bottle"	"microplankton"											
